User,LostPackets
1,5990
2,6000
3,5966
4,6000
5,6000
6,6000
7,6000
8,9
9,9
10,4969
1,6000
2,6000
3,4815
4,4187
5,6000
6,3
7,6000
8,6000
9,6000
10,4148
1,6000
2,5892
3,6000
4,6000
5,5642
6,6000
7,5978
8,6000
9,9
10,6000
1,6000
2,6000
3,3832
4,6000
5,6000
6,6000
7,5935
8,5458
9,8
10,4400
1,6000
2,6000
3,6000
4,6000
5,6000
6,3470
7,2
8,6000
9,6000
10,6000
1,4816
2,6000
3,2705
4,2771
5,6000
6,6000
7,5798
8,6000
9,5642
10,6000
1,4803
2,4299
3,6000
4,3589
5,6000
6,6000
7,6000
8,6000
9,6000
10,6000
1,6000
2,5964
3,5957
4,5984
5,6000
6,6000
7,5048
8,6000
9,5839
10,5947
1,5898
2,4809
3,6000
4,2605
5,5936
6,6000
7,6000
8,6000
9,6000
10,4308
1,6000
2,6000
3,6000
4,5986
5,6000
6,6000
7,6000
8,8
9,8
10,6000
1,5108
2,3968
3,3383
4,5907
5,6000
6,5437
7,5934
8,5
9,5757
10,4151
1,5705
2,6000
3,6000
4,6000
5,6000
6,6000
7,2
8,6000
9,12
10,6000
1,5957
2,5031
3,6000
4,5934
5,6000
6,9
7,6000
8,9
9,5999
10,6000
1,6000
2,6000
3,5913
4,5909
5,6000
6,4933
7,6000
8,6000
9,5627
10,6000
1,4542
2,6000
3,6000
4,6000
5,6000
6,2
7,6000
8,6000
9,3
10,6000
1,6000
2,6000
3,6000
4,6000
5,5
6,5
7,6000
8,6000
9,6000
10,6000
1,6000
2,6000
3,6000
4,5977
5,6000
6,6000
7,11
8,6000
9,6000
10,6000
1,4236
2,6000
3,6000
4,3507
5,6000
6,5
7,5
8,6000
9,6000
10,6000
1,6000
2,6000
3,5978
4,5913
5,5650
6,5932
7,6000
8,2
9,5951
10,6000
1,4302
2,6000
3,6000
4,6000
5,6000
6,5859
7,6000
8,6000
9,5999
10,4302
