Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 5,[0.013366740695138773],[0.37905],[0.0016408059458248318],[0.9362],[3150.5659556369997],70.85972246899841,26091520000,2024-07-26 09:14:15
client 1,[0.007987564302360018],[0.6332833333333333],[0.0008716716136434116],[0.9641],[3233.687225982],72.16514355600631,26091520000,2024-07-26 10:54:51
client 3,[0.00570563005618751],[0.7405833333333334],[0.0007592297865077853],[0.968],[3278.868578513],72.99255602900188,26091520000,2024-07-26 12:36:17
