NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,87.9964,42.0286,1.5,97.5296
UE,2,121.514,82.2604,1.5,146.747
UE,3,18.6284,137.434,1.5,138.699
UE,4,58.3282,89.9837,1.5,107.245
UE,5,96.2441,58.4131,1.5,112.593
UE,6,141.386,18.581,1.5,142.61
UE,7,35.614,125.331,1.5,130.301
UE,8,105.814,81.3918,1.5,133.505
UE,9,143.952,57.0273,1.5,154.843
UE,10,50.7669,6.96689,1.5,51.2646
UE,11,30.8091,130.377,1.5,133.976
UE,12,75.9773,115.249,1.5,138.048
UE,13,1.11181,55.1626,1.5,55.1942
UE,14,46.0536,11.7676,1.5,47.5569
UE,15,41.9268,101.615,1.5,109.935
UE,16,51.2691,130.397,1.5,140.122
UE,17,66.7338,51.9682,1.5,84.5951
UE,18,7.55138,24.6294,1.5,25.8047
UE,19,49.8176,82.7207,1.5,96.5752
UE,20,146.802,6.84661,1.5,146.969
