NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,127.117,77.1832,1.5,148.722
UE,2,34.3983,120.86,1.5,125.668
UE,3,48.4277,92.29,1.5,104.235
UE,4,66.4936,120.819,1.5,137.916
UE,5,105.735,92.6149,1.5,140.569
UE,6,108.264,75.3069,1.5,131.888
UE,7,85.1513,53.2357,1.5,100.434
UE,8,123.597,13.7904,1.5,124.373
UE,9,67.4508,91.909,1.5,114.014
UE,10,121.98,95.2029,1.5,154.741
UE,11,35.6229,99.033,1.5,105.256
UE,12,32.8026,78.305,1.5,84.9113
UE,13,19.1399,0.253559,1.5,19.2003
UE,14,136.97,104.774,1.5,172.454
UE,15,93.8491,42.5684,1.5,103.063
UE,16,121.414,101.601,1.5,158.323
UE,17,47.1706,47.7386,1.5,67.1289
UE,18,35.4254,147.899,1.5,152.09
UE,19,0.559512,101.522,1.5,101.534
UE,20,76.5403,28.0113,1.5,81.5187
