User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.200345,33.9456,1556.87,4011,0.200345
2,0.27253,1.77493,748.832,5896,0.0721851
3,0,0,971.439,6000,0.27253
4,0,0,30.9637,6000,0
5,0.296372,0.0580267,1751.11,5966,0.296372
6,0.25192,1.61451,733.429,5054,0.0444529
7,0.290449,0.744107,1050.36,5564,0.0385298
8,0.276653,0.723627,48.269,5576,0.0137964
9,0.284893,1.26123,431.048,5261,0.00823955
10,0.000514884,10.2263,179.999,8,0.284378
11,0,0,1253.17,6000,0.000514884
12,0.26949,1.03424,12.1186,5394,0.26949
13,0.27805,0.713387,1151.3,5582,0.00855996
14,0.271474,0.59904,51.1609,5649,0.00657597
15,0.300769,1.05813,436.711,5938,0.0292951
16,0.200326,33.9456,214.157,4011,0.100443
17,0.301597,0.699733,575.967,5959,0.101271
18,0,0,1001.21,6000,0.301597
19,0,0,1726.81,6000,0
20,0,0,697.395,6000,0
