User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.323109,0.923307,602.554,5459,0.0859814
2,0.380296,0.256,1078.2,5985,0.0571873
3,0,0,960.452,6000,0.380296
4,0.354111,0.836267,792.212,5951,0.354111
5,0.000546707,10.2298,697.673,6,0.000546589
6,0.237127,2.18283,1053.82,4721,0.236581
