User,Throughput
1,0.802133
2,0.699733
3,0
4,0
5,1.63328
6,0.841387
7,1.23392
8,5.63883
9,0.790187
10,0
11,4.62507
12,10.2332
13,1.15883
14,0.841387
15,0.128
16,0.802133
17,0.802133
18,0
19,0
20,0
21,0
