User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.349691,0.2048,256.272,5988,0.349691
2,0,0,1424.05,6000,0.349691
3,0,0,290.914,6000,0
4,0,0,179.948,6000,0
5,0,0,1666.33,6000,1.18e-07
6,0.289005,0.426667,844.916,5750,0.289005
7,0,0,857.126,6000,0.289005
8,0,0,402.334,6000,0
9,0,0,917.429,6000,0
10,0.346408,0.0426667,917.139,5975,0.346408
11,0.193988,3.81269,265.191,3766,0.15242
12,0.417318,0.00341333,642.51,5998,0.223331
13,0.000611324,10.2212,316.069,11,0.416707
14,0,0,172.906,6000,0.000611324
15,0,0,691.911,6000,0
16,0.438571,0.0682667,192.227,5996,0.438571
17,0,0,54.6978,6000,0.438571
18,0,0,1853.27,6000,0
19,0,0,1080.34,6000,0
20,0,0,1098.31,6000,0
