NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,18.3722,69.1784,1.5,71.5922
UE,2,80.6815,148.22,1.5,168.763
UE,3,49.7348,57.8141,1.5,76.2776
UE,4,57.1477,18.1891,1.5,59.9913
UE,5,132.838,125.214,1.5,182.556
UE,6,94.7016,89.0375,1.5,129.994
UE,7,13.263,130.247,1.5,130.929
UE,8,29.8258,84.5864,1.5,89.7033
UE,9,15.4233,134.568,1.5,135.457
UE,10,103.798,86.9861,1.5,135.436
UE,11,68.2459,25.3787,1.5,72.8274
UE,12,105.068,42.5282,1.5,113.359
UE,13,65.4962,45.0486,1.5,79.5071
UE,14,5.73413,58.5064,1.5,58.8059
UE,15,61.6785,100.159,1.5,117.636
UE,16,0.892439,61.9797,1.5,62.0043
UE,17,14.5887,29.6459,1.5,33.075
UE,18,145.708,125.826,1.5,192.524
UE,19,84.3317,120.386,1.5,146.993
UE,20,61.7696,134.716,1.5,148.21
