User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0,0,46.9975,6000,0
2,0.301293,1.51893,319.914,5911,0.301293
3,0,0,844.573,6000,0.301293
4,0,0,1204.78,6000,0
5,0.24176,2.11285,630.339,4762,0.24176
6,0.000741181,10.2246,967.496,9,0.241019
7,0,0,471.541,6000,0.000741181
8,0.000597999,10.2315,271.421,5,0.000597999
9,0.283776,0.60416,267.678,5646,0.283178
10,0.325212,0.438613,1580.16,5743,0.0414363
11,0,0,1026.17,6000,0.325212
12,0.000572208,10.2332,970.924,4,0.000572208
13,0,0,617.05,6000,0.000572208
14,0.34074,0.05632,1448.44,5967,0.34074
15,0.215375,29.3547,337.213,4280,0.125365
16,0,0,724.876,6000,0.215375
17,0,0,1021.83,6000,0
18,0,0,1111.28,6000,0
19,0,0,271.555,6000,0
20,0,0,1178.53,6000,0
