User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.000471996,10.2281,33.9212,7,0.124224
2,0.22902,24.5248,53.7094,4563,0.228548
3,0.294608,1.60427,225.041,5906,0.0655882
4,0.110635,64.2389,1441.06,2236,0.183973
5,0.000454797,10.2281,613.553,7,0.000454679
6,0.124696,6.07403,83.3799,2441,0.124241
