NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,8.51735,145.068,1.5,145.326
UE,2,40.6124,50.764,1.5,65.0277
UE,3,81.9262,89.1821,1.5,121.11
UE,4,84.0019,66.3798,1.5,107.074
UE,5,84.6124,122.049,1.5,148.517
UE,6,90.4409,22.1337,1.5,93.122
UE,7,117.767,89.3805,1.5,147.852
UE,8,112.48,80.7157,1.5,138.452
UE,9,72.7977,107.354,1.5,129.717
UE,10,138.517,21.6196,1.5,140.202
UE,11,48.925,137.889,1.5,146.319
UE,12,87.3225,47.9289,1.5,99.6225
UE,13,24.1654,73.3009,1.5,77.1961
UE,14,2.625,105.703,1.5,105.746
UE,15,105.756,101.393,1.5,146.517
UE,16,102.262,53.7198,1.5,115.523
UE,17,30.2488,149.793,1.5,152.824
UE,18,62.8241,45.0085,1.5,77.2974
UE,19,135.935,43.4878,1.5,142.73
UE,20,149.797,89.8426,1.5,174.68
