NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,73.4905,78.907,1.5,107.84
UE,2,114.967,110.977,1.5,159.798
UE,3,24.5464,115.863,1.5,118.444
UE,4,21.8288,41.8675,1.5,47.2401
