User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.272424,8.704,173.899,5490,0.272424
2,0.303436,0.392533,807.344,5977,0.0310126
3,0,0,363.137,6000,0.303436
4,0,0,149.402,6000,0
5,0.251026,1.57696,806.268,5076,0.251026
6,0.000416165,10.2315,1331.24,5,0.25061
7,0.262766,1.18101,204.806,5308,0.262349
8,0.0391227,8.82176,1178.97,831,0.223643
9,0.246527,1.74251,265.192,4979,0.207404
10,0.248556,1.83467,755.012,4925,0.00202955
11,0,0,1129.94,6000,0.248556
12,0.228205,1.28512,572.255,5247,0.228205
13,0.133287,5.60981,1917.51,2713,0.0949179
14,0.243029,2.46955,296.539,4553,0.109743
15,0.292667,1.77493,1171.97,5896,0.0496376
16,0.272405,8.704,360.174,5490,0.0202613
17,0.297146,1.2288,359.51,5928,0.0247403
18,0,0,273.442,6000,0.297146
19,0,0,553.679,6000,0
20,0,0,483.145,6000,0
