NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,26.9378,52.4413,1.5,58.9744
UE,2,86.5095,93.0631,1.5,127.07
UE,3,82.0858,22.8562,1.5,85.2217
UE,4,53.674,10.2414,1.5,54.6629
UE,5,53.7283,115.049,1.5,126.986
UE,6,75.9473,144.411,1.5,163.171
UE,7,43.203,47.1949,1.5,64.0009
UE,8,36.4598,149.157,1.5,153.556
UE,9,58.5631,43.266,1.5,72.8274
UE,10,102.862,67.2117,1.5,122.883
UE,11,100.916,111.411,1.5,150.329
UE,12,18.6535,105.332,1.5,106.982
UE,13,127.322,148.786,1.5,195.832
UE,14,45.25,62.2973,1.5,77.0115
UE,15,83.2865,128.454,1.5,153.099
UE,16,11.3464,84.0981,1.5,84.8733
UE,17,79.2686,30.0739,1.5,84.795
UE,18,52.836,51.7199,1.5,73.9517
UE,19,99.1311,35.2752,1.5,105.231
UE,20,95.033,25.0874,1.5,98.3
