User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.299836,0.6656,1083.91,5961,0.299836
2,0.294346,4.2496,809.576,5751,0.00548962
3,0.427458,0.0170667,37.3296,5999,0.133112
4,0,0,201.468,6000,0.427458
5,0.281761,0.00853333,443.294,5995,0.28176
6,0.000512355,10.2332,305.828,4,0.281248
7,0.279152,0.800427,238.659,5531,0.278639
8,0.237523,2.14187,925.808,4745,0.0416289
9,0.000457963,10.2332,593.856,4,0.237065
10,0.000462427,10.2332,448.443,4,4.464e-06
11,0.298076,0.0512,876.799,5970,0.297614
12,0.278154,0.744107,1380.24,5564,0.019922
13,0.0285708,9.26891,1253.79,569,0.249583
14,0.142915,5.36747,1004.11,2855,0.114344
15,0.296179,0.580267,1608.9,5966,0.153265
16,0.194067,36.2325,217.596,3877,0.102112
17,0.290705,3.34507,106.622,5804,0.0966377
18,0.32993,0.0512,940.885,5997,0.0392251
19,0,0,369.75,6000,0.32993
20,0,0,1014.16,6000,0
