User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.19508,36.1643,263.74,3881,0.19508
2,0.306942,0.256,702.665,5985,0.111862
3,0,0,1078.78,6000,0.306942
4,0.297152,3.1232,784.49,5817,0.297152
5,0.279528,0.923307,603.505,5459,0.279528
6,0.284174,0.571733,1029.63,5665,0.00464532
7,0.000460796,10.2349,778.68,3,0.283713
8,0.238629,2.12651,644.826,4754,0.238168
9,0.000469724,10.2349,64.5606,3,0.238159
10,0.197084,3.54304,972.559,3924,0.196614
11,0.305348,0.1536,581.435,5910,0.108264
12,0.2794,0.744107,744.695,5564,0.0259477
13,0.197048,3.54304,951.017,3924,0.0823522
14,0.000430762,10.2349,1107.36,3,0.196617
15,0.266896,0.802133,1120.51,5953,0.266466
16,0.303351,0.802133,1137.05,5953,0.0364545
17,0.322556,0.4096,426.742,5976,0.0192051
18,0,0,510.97,6000,0.322556
19,0,0,319.181,6000,0
20,0,0,662.815,6000,0
