User,Train Accuracy,Validation Accuracy,Timestamp
user 1,0.34713333333333335,0.9306,2024-10-29 18:13:06
user 1,0.42306666666666665,0.9327,2024-10-29 19:55:08
user 3,0.32993333333333336,0.9139,2024-10-30 10:11:31
user 2,0.6338166666666667,0.9566,2024-10-30 11:35:47
user 1,0.7016666666666667,0.9619,2024-10-30 13:02:38
user 1,0.4245833333333333,0.9346,2024-10-30 17:02:00
user 3,0.28165,0.8816,2024-10-30 19:06:59
user 1,0.6817166666666666,0.9642,2024-10-30 20:25:04
user 2,0.4026166666666667,0.9393,2024-10-31 11:31:08
