NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,115.167,115.591,1.5,163.177
UE,2,77.0832,106.775,1.5,131.7
UE,3,68.15,57.5742,1.5,89.227
UE,4,43.4626,82.0345,1.5,92.8488
UE,5,49.9517,34.6232,1.5,60.7963
UE,6,11.181,25.7194,1.5,28.0847
UE,7,66.6103,144.211,1.5,158.858
UE,8,134.746,40.7369,1.5,140.777
UE,9,49.2798,143.213,1.5,151.462
UE,10,50.8388,40.9034,1.5,65.268
UE,11,101.933,92.2725,1.5,137.502
UE,12,89.4097,111.001,1.5,142.54
UE,13,126.123,149.98,1.5,195.967
UE,14,58.869,62.5543,1.5,85.9119
UE,15,148.982,117.203,1.5,189.564
UE,16,38.9003,36.5174,1.5,53.3761
UE,17,99.0608,109.77,1.5,147.867
UE,18,2.17307,148.721,1.5,148.745
UE,19,117.969,34.0066,1.5,122.782
UE,20,87.9734,74.912,1.5,115.557
