User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.210711,30.5152,978.61,4212,0.210711
2,0.27307,5.2224,516.752,5694,0.0623593
3,0,0,94.729,6000,0.27307
4,0,0,168.414,6000,0
5,0,0,48.2333,6000,1.18e-07
6,0.338446,0.397653,485.555,5767,0.338446
7,0.000600756,10.2349,125.181,3,0.337845
8,0.281246,0.628053,1746.1,5632,0.280645
9,0.336805,0.406187,607.053,5762,0.0555586
10,0.332073,0.423253,1661.54,5752,0.00473145
11,0.269437,1.00523,923.137,5411,0.0626362
12,0.28413,0.570027,403.695,5666,0.0146934
13,0,0,228.053,6000,0.28413
14,0.000627388,10.2349,453.647,3,0.000627388
15,0,0,353.899,6000,0.000627388
16,0.287175,0.529067,470.895,5969,0.287175
17,0.306415,0.529067,1787.86,5969,0.01924
18,0,0,1088.74,6000,0.306415
19,0,0,1031.87,6000,0
20,0,0,376.776,6000,0
