NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,19.8779,81.8628,1.5,84.255
UE,2,35.3263,45.2636,1.5,57.4368
UE,3,139.321,130.779,1.5,191.091
UE,4,122.551,16.6792,1.5,123.69
UE,5,83.9835,136.964,1.5,160.669
UE,6,120.861,37.353,1.5,126.51
UE,7,65.2547,107.126,1.5,125.445
UE,8,29.8061,147.1,1.5,150.097
UE,9,122.368,103.771,1.5,160.452
UE,10,78.9562,39.8982,1.5,88.4771
UE,11,114.928,73.1677,1.5,136.25
UE,12,25.1004,72.6471,1.5,76.8758
UE,13,122.613,43.9259,1.5,130.252
UE,14,114.16,26.6032,1.5,117.229
UE,15,43.015,34.7324,1.5,55.3071
UE,16,95.0365,93.695,1.5,133.465
UE,17,147.231,8.23597,1.5,147.469
UE,18,40.0334,25.6568,1.5,47.5731
UE,19,30.8259,101.105,1.5,105.711
UE,20,141.971,83.3221,1.5,164.623
