NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,73.2026,106.479,1.5,129.223
UE,2,25.4993,27.9107,1.5,37.8347
UE,3,58.1645,54.408,1.5,79.6591
UE,4,87.8401,54.3469,1.5,103.304
UE,5,115.932,126.34,1.5,171.476
UE,6,52.2412,126.892,1.5,137.234
