User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0,0,56.192,6000,0
2,0,0,1491.24,6000,0
3,0.301956,1.10933,481.297,5935,0.301956
4,0,0,686.399,6000,0.301956
5,0,0,257.176,6000,1.18e-07
6,0,0,1110.72,6000,0
7,0.282805,0.612693,342.338,5641,0.282805
8,0.282593,0.61952,2109.95,5637,0.000212621
9,0,0,1592.69,6000,0.282593
10,0.000651827,10.2315,5.92115,5,0.000651827
11,0.188512,3.87755,287.272,3728,0.18786
12,0.347966,0.146773,821.5,5914,0.159453
13,0.000616908,10.2315,250.31,5,0.347349
14,0.00060798,10.2315,581.664,5,8.928e-06
15,0,0,791.62,6000,0.00060798
16,0.280864,0.256,1011.98,5985,0.280864
17,0,0,118.358,6000,0.280864
18,0,0,2133.18,6000,0
19,0,0,128.964,6000,0
20,0,0,785.244,6000,0
