Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 2,[0.014684647855659327],[0.30765],[0.0025614420607686043],[0.8985],[2859.633810117],64.38990464299746,26091520000,2024-07-26 20:17:50
client 1,[0.008398146039868394],[0.6185833333333334],[0.0012390263729263097],[0.9442],[2953.875735786],64.36079418499332,26091520000,2024-07-26 21:46:36
client 5,[0.00706482106782496],[0.6750333333333334],[0.0010934612681623547],[0.9555],[2686.7442487310004],61.19990698700566,26091520000,2024-07-26 23:03:08
