User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.26822,10.2059,749.214,5402,0.26822
2,0.294404,0.989867,611.674,5942,0.0261841
3,0,0,486.438,6000,0.294404
4,0.288277,3.49867,444.669,5795,0.288277
5,0.276228,0.63488,844.414,5628,0.276227
6,0.000419086,10.2315,192.815,5,0.275808
7,0.211062,2.97813,1111.3,4255,0.210643
8,0.252964,1.54112,706.695,5097,0.0419027
9,0.265614,1.49845,1171.03,5122,0.0126494
10,0.000399434,10.2332,1468.06,4,0.265214
11,0.275767,0.56832,629.349,5667,0.275368
12,0.000400368,10.2332,323.81,4,0.275367
13,0.265067,1.68448,1558.48,5013,0.264667
14,0.24518,1.31584,276.877,5229,0.019887
15,0.290191,3.05493,216.26,5821,0.0450107
16,0.149967,50.6539,493.453,3032,0.140224
17,0.270701,9.71093,590.71,5431,0.120734
18,0,0,1149.73,6000,0.270701
19,0,0,1257.16,6000,0
20,0,0,585.013,6000,0
