User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.288631,4.43733,856.311,5740,0.288631
2,0.284307,4.69333,928.257,5725,0.00432378
3,0.292673,0.170667,898.516,5990,0.00836564
4,0,0,2176.92,6000,0.292673
5,0.297072,0.09728,320.26,5943,0.297072
6,0.00059188,10.2281,759.451,7,0.296481
7,0.0958963,6.98027,954.163,1910,0.0953044
8,0.000538805,10.2281,1010.68,7,0.0953575
9,0.269192,1.20832,859.017,5292,0.268653
10,0.000547733,10.2281,963.859,7,0.268644
11,0.263153,1.11957,23.0593,5344,0.262605
12,0.277686,0.745813,1098.55,5563,0.0145335
13,0.203002,3.32288,164.123,4053,0.0746844
14,0.202993,3.32288,312.581,4053,8.928e-06
15,0.306794,1.86027,851.207,5891,0.103801
16,0.336293,0.341333,677.55,5980,0.0294991
17,0.348306,0.7168,492.274,5958,0.012013
18,0.295798,0.0512,370.118,5997,0.0525084
19,0,0,244.775,6000,0.295798
20,0,0,1276.62,6000,0
