NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,64.3849,43.3134,1.5,77.6126
UE,2,36.1567,145.154,1.5,149.597
UE,3,65.5478,142.217,1.5,156.603
UE,4,35.8733,134.737,1.5,139.439
UE,5,119.394,109.273,1.5,161.857
UE,6,48.8956,86.9344,1.5,99.7528
UE,7,90.5546,27.8038,1.5,94.7388
UE,8,26.5904,108.889,1.5,112.099
UE,9,113.75,2.82322,1.5,113.795
UE,10,63.7753,132.522,1.5,147.077
UE,11,92.5094,8.10505,1.5,92.8758
UE,12,70.6945,119.695,1.5,139.021
UE,13,4.00787,79.5155,1.5,79.6306
UE,14,8.19091,108.991,1.5,109.309
UE,15,77.5199,10.4483,1.5,78.2353
UE,16,91.799,132.434,1.5,161.146
UE,17,135.989,52.7177,1.5,145.857
UE,18,79.103,9.04682,1.5,79.6328
UE,19,52.6126,25.7094,1.5,58.5774
UE,20,132.718,77.0127,1.5,153.451
