NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,67.7305,105.115,1.5,125.055
UE,2,67.7815,73.5393,1.5,100.023
UE,3,118.913,71.0344,1.5,138.522
UE,4,127.497,17.6664,1.5,128.724
UE,5,8.00892,27.5766,1.5,28.7552
UE,6,52.2895,136.672,1.5,146.341
