User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.322403,0.6656,220.912,5610,0.321908
2,0,0,1532.08,6000,0.322403
3,0.115049,63.4027,130.242,2285,0.115049
4,0.301893,0.170667,98.6604,5990,0.186844
5,0.234363,2.26816,1103.33,4671,0.234363
6,0.000495891,10.2298,949.809,6,0.233867
