NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,16.5974,137.401,1.5,138.408
UE,2,40.9503,79.1393,1.5,89.119
UE,3,94.7109,131.11,1.5,161.748
UE,4,128.864,116.581,1.5,173.779
UE,5,124.696,57.0282,1.5,137.126
UE,6,100.849,70.6146,1.5,123.122
UE,7,113.254,142.376,1.5,181.933
UE,8,120.684,51.3298,1.5,131.155
UE,9,103.412,141.383,1.5,175.173
UE,10,119.421,123.671,1.5,171.925
UE,11,91.5831,125.595,1.5,155.447
UE,12,141.765,82.6951,1.5,164.129
UE,13,13.282,8.41293,1.5,15.7936
UE,14,25.2641,141.957,1.5,144.195
UE,15,84.714,113.338,1.5,141.507
UE,16,80.8832,144.12,1.5,165.272
UE,17,85.7304,47.3549,1.5,97.9512
UE,18,32.1907,68.6916,1.5,75.8751
UE,19,127.233,143.542,1.5,191.819
UE,20,79.2336,14.6862,1.5,80.5971
