User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0,0,939.764,6000,0
2,0,0,1087.04,6000,0
3,0,0,1018.16,6000,0
4,0,0,197.749,6000,0
5,0,0,922.193,6000,1.18e-07
6,0,0,863.846,6000,0
7,0,0,1251.54,6000,0
8,0,0,1252.18,6000,0
9,0,0,1149.07,6000,0
10,0,0,96.2894,6000,0
11,0,0,1252.05,6000,0
12,0,0,304.293,6000,0
13,0.347626,0.2048,1498.61,5880,0.347626
14,0.283051,0.605867,396.412,5645,0.0645742
15,0,0,885.372,6000,0.283051
16,0.301628,0.6144,882.129,5964,0.301628
17,0.263491,12.6464,481.655,5259,0.0381371
18,0,0,1401.61,6000,0.263491
19,0,0,108.349,6000,0
20,0,0,610.297,6000,0
