NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,112.795,77.9123,1.5,137.096
UE,2,17.5351,146.394,1.5,147.448
UE,3,134.304,48.2017,1.5,142.7
UE,4,2.19245,62.8325,1.5,62.8886
UE,5,125.16,52.6943,1.5,135.808
UE,6,66.0509,113.631,1.5,131.442
UE,7,102.697,120.341,1.5,158.211
UE,8,149.506,51.8581,1.5,158.252
UE,9,91.6636,120.735,1.5,151.596
UE,10,43.8387,1.30657,1.5,43.8838
UE,11,114.64,109.071,1.5,158.243
UE,12,62.0824,47.2163,1.5,78.0119
UE,13,115.168,129.253,1.5,173.125
UE,14,78.285,42.3962,1.5,89.0407
UE,15,4.04594,132.999,1.5,133.069
UE,16,104.591,81.8605,1.5,132.825
UE,17,78.4116,59.0125,1.5,98.1484
UE,18,123.195,113.371,1.5,167.428
UE,19,45.9236,7.46737,1.5,46.5509
UE,20,93.1531,59.3816,1.5,110.48
