NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,9.66397,1.03889,1.5,9.83471
UE,2,38.3921,97.1883,1.5,104.507
UE,3,21.1917,16.7171,1.5,27.0333
UE,4,133.831,28.1598,1.5,136.77
