User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.240764,2.03947,455.506,4805,0.000231256
2,0.292562,2.9696,393.848,5826,0.0517981
3,0.0562082,83.456,607.236,1110,0.236354
4,0.294855,2.11627,71.2075,5876,0.238646
5,0.242447,1.95413,840.29,4855,0.242447
6,0.240533,2.04459,1078.69,4802,0.0019143
