User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.286202,5.03467,923.226,5705,0.286202
2,0,0,679.023,6000,0.286202
3,0,0,935.979,6000,0
4,0,0,66.0065,6000,0
5,0,0,238.501,6000,1.18e-07
6,0,0,631.207,6000,0
7,0.000544051,10.2366,1593.25,2,0.000544051
8,0,0,1540.49,6000,0.000544051
9,0.000638445,10.2195,545.79,12,0.000638445
10,0,0,1430.19,6000,0.000638445
