NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,110.17,5.73812,1.5,110.33
UE,2,0.119928,99.2078,1.5,99.2192
UE,3,140.217,76.9116,1.5,159.932
UE,4,123.104,136.739,1.5,183.995
UE,5,117.05,76.0215,1.5,139.579
UE,6,78.4597,23.4629,1.5,81.9065
UE,7,40.6618,97.6632,1.5,105.8
UE,8,51.4092,144.577,1.5,153.453
UE,9,98.3749,96.5699,1.5,137.861
UE,10,5.60838,25.0751,1.5,25.7384
UE,11,7.93978,19.2423,1.5,20.87
UE,12,34.4883,126.435,1.5,131.063
UE,13,98.5809,130.055,1.5,163.202
UE,14,31.8889,78.6939,1.5,84.9228
UE,15,120.942,3.37078,1.5,120.998
UE,16,127.429,63.1274,1.5,142.216
UE,17,96.046,122.244,1.5,155.469
UE,18,95.1545,64.6046,1.5,115.023
UE,19,24.8135,46.7839,1.5,52.9783
UE,20,34.2439,124.894,1.5,129.512
