User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.286774,5.05173,608.634,5704,0.286774
2,0.290414,3.82293,492.223,5776,0.00364034
3,0,0,1278.92,6000,0.290414
4,0.285049,3.36213,1692.71,5803,0.285049
5,0.191294,3.73589,974.115,3811,0.191294
6,0.348696,0.42496,335.434,5751,0.157402
7,0.28208,0.70144,559.687,5589,0.066616
8,0.000495955,10.2349,1177.38,3,0.281584
9,0.280773,0.682667,950.281,5600,0.280277
10,0.000504883,10.2349,33.1233,3,0.280268
11,0.300747,0.0785067,21.7778,5954,0.300243
12,0.327303,0.561493,858.875,5671,0.0265554
13,0.29496,0.725333,1331.74,5575,0.032343
14,0.000461413,10.2349,360.594,3,0.294498
15,0.296031,1.9968,732.032,5883,0.29557
16,0.263329,0.631467,1011.27,5963,0.0327028
17,0.293184,2.95253,1208.54,5827,0.0298552
18,0,0,661.519,6000,0.293184
19,0,0,140.335,6000,0
20,0,0,838.671,6000,0
