User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.000403814,10.2349,605.06,3,7.32142e-05
2,0.00292938,102.298,371.744,6,0.00252557
3,0.112156,63.9488,744.438,2253,0.109227
4,0.0799113,74.9909,712.311,1606,0.0322448
5,0.000322675,10.2349,1154.42,3,0.000322557
6,0.0003306,10.2349,1336.32,3,7.92463e-06
