Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 5,[0.014393889938791593],[0.3408333333333333],[0.0018184763189405203],[0.9293],[3749.1644039430003],82.14199123700705,26091520000,2024-08-01 10:05:14
client 3,[0.009145901834095518],[0.5833666666666667],[0.0013079202588414773],[0.9496],[3259.888718654],74.04270729401162,26091520000,2024-08-01 11:46:48
client 1,[0.006550891524118682],[0.7068333333333333],[0.0009189103763899766],[0.9604],[3326.548665046],74.79470507100052,26091520000,2024-08-01 13:29:55
