User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0,0,590.193,6000,0
2,0.297557,2.6112,740.921,5847,0.297557
3,0,0,834.339,6000,0.297557
4,0.291425,3.66933,1152.57,5785,0.291425
5,0,0,1039.78,6000,1.18e-07
6,0,0,1191.88,6000,0
7,0,0,1463.11,6000,0
8,0,0,1072.18,6000,0
9,0.0007021,10.2263,830.906,8,0.0007021
10,0.00068104,10.2298,1700.86,6,2.10598e-05
11,0.302514,0.0768,336.255,5955,0.301833
12,0,0,947.798,6000,0.302514
13,0.000670067,10.2349,363.714,3,0.000670067
14,0.000646612,10.2366,1959.23,2,2.3454e-05
15,0,0,1460.83,6000,0.000646612
16,0,0,192.651,6000,0
17,0,0,633.675,6000,0
18,0,0,693.236,6000,0
19,0,0,555.152,6000,0
20,0,0,29.3928,6000,0
