NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,91.4095,58.7019,1.5,108.646
UE,2,107.531,57.0372,1.5,121.731
UE,3,119.667,48.6239,1.5,129.177
UE,4,52.1049,142.598,1.5,151.827
UE,5,130.623,61.0814,1.5,144.207
UE,6,65.7393,139.691,1.5,154.394
UE,7,131.703,109.152,1.5,171.062
UE,8,33.8203,142.47,1.5,146.437
UE,9,125.83,27.9775,1.5,128.911
UE,10,119.893,140.145,1.5,184.437
UE,11,49.9679,65.0082,1.5,82.0068
UE,12,50.8464,127.939,1.5,137.681
UE,13,2.60291,85.2365,1.5,85.2894
UE,14,149.731,129.472,1.5,197.951
UE,15,93.0654,143.364,1.5,170.929
UE,16,14.8118,60.2609,1.5,62.0727
UE,17,78.8065,80.379,1.5,112.577
UE,18,108.658,45.3411,1.5,117.749
UE,19,99.7102,34.0394,1.5,105.371
UE,20,23.5153,5.71301,1.5,24.2458
