NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,24.1202,9.30996,1.5,25.8981
UE,2,71.4549,31.9412,1.5,78.2834
UE,3,83.9139,122.702,1.5,148.659
UE,4,100.715,94.1656,1.5,137.888
UE,5,101.406,30.394,1.5,105.874
UE,6,21.8401,6.24047,1.5,22.7636
UE,7,36.4604,40.0675,1.5,54.1942
UE,8,40.5858,5.65838,1.5,41.0058
UE,9,118.461,143.238,1.5,185.883
UE,10,12.0642,14.7474,1.5,19.1123
UE,11,129.657,89.9619,1.5,157.817
UE,12,42.3366,121.763,1.5,128.922
UE,13,102.223,21.6691,1.5,104.505
UE,14,142.015,47.5699,1.5,149.778
UE,15,68.7154,40.1107,1.5,79.5797
UE,16,82.3703,92.252,1.5,123.683
UE,17,29.8649,92.7825,1.5,97.4821
UE,18,97.6126,57.9598,1.5,113.533
UE,19,59.6122,98.0007,1.5,114.717
UE,20,69.6323,85.5199,1.5,110.293
