User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0,0,94.5296,6000,0
2,0,0,41.7351,6000,0
3,0,0,214.465,6000,0
4,0.386385,0.0512,121.628,5997,0.386385
5,0.314082,0.365227,705.902,5786,0.314082
6,0.000625596,10.2281,1344.74,7,0.313456
7,0.336497,0.36864,1562.27,5784,0.335872
8,0,0,1004.66,6000,0.336497
9,0.000560548,10.2281,155.503,7,0.000560548
10,0.282656,0.622933,1272.2,5635,0.282095
11,0.321381,0.09216,294.428,5946,0.0387252
12,0.00053934,10.2281,909.717,7,0.320841
13,0.282807,0.617813,424.012,5638,0.282268
14,0.373045,0.0221467,1116.09,5987,0.0902386
15,0.213049,29.9691,390.073,4244,0.159996
16,0.21304,29.9691,1422.6,4244,8.928e-06
17,0,0,198.305,6000,0.21304
18,0,0,593.273,6000,0
19,0,0,206.453,6000,0
20,0,0,300.294,6000,0
