NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,36.9033,22.9453,1.5,43.4809
UE,2,28.5406,4.22928,1.5,28.8912
UE,3,2.56126,65.4255,1.5,65.4928
UE,4,21.3085,44.455,1.5,49.3209
UE,5,81.7045,86.2565,1.5,118.819
UE,6,82.1565,141.925,1.5,163.996
UE,7,97.4035,147.498,1.5,176.764
UE,8,92.508,107.393,1.5,141.751
UE,9,46.9633,30.0377,1.5,55.768
UE,10,141.718,73.1955,1.5,159.511
UE,11,27.1409,71.7613,1.5,76.737
UE,12,113.329,73.1346,1.5,134.886
UE,13,62.3666,67.7376,1.5,92.0882
UE,14,118.688,90.7343,1.5,149.405
UE,15,7.97945,87.9519,1.5,88.3258
UE,16,139.01,95.5299,1.5,168.677
UE,17,7.97886,62.4516,1.5,62.977
UE,18,85.3797,67.6278,1.5,108.929
UE,19,63.1666,11.6952,1.5,64.2577
UE,20,5.19194,77.309,1.5,77.4977
