NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,70.5786,94.7682,1.5,118.172
UE,2,58.8281,70.3604,1.5,91.7256
UE,3,114.005,123.123,1.5,167.805
UE,4,107.315,113.326,1.5,156.082
UE,5,88.4444,119.278,1.5,148.499
UE,6,73.1323,63.826,1.5,97.079
