NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,4.67609,69.7781,1.5,69.9507
UE,2,20.3836,38.2233,1.5,43.3447
UE,3,68.7722,52.0472,1.5,86.2599
UE,4,94.8277,47.5476,1.5,106.091
UE,5,21.7784,119.675,1.5,121.65
UE,6,131.668,22.8402,1.5,133.642
