User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.283266,5.1712,416.029,5697,0.283266
2,0.317636,0.3584,335.9,5979,0.0343703
3,0.329026,0.238933,509.892,5986,0.0113894
4,0,0,574.127,6000,0.329026
5,0.269719,1.11104,76.2282,5349,0.269719
6,0.000419899,10.2315,816.949,5,0.269299
7,0.000372947,10.2315,457.299,5,4.69522e-05
8,0.195796,3.56181,1623.02,3913,0.195423
9,0.000381875,10.2315,42.7777,5,0.195414
10,0.194984,3.60619,1301.87,3887,0.194602
11,0.0279369,9.38667,810.394,500,0.167047
12,0.19531,3.57035,256.79,3908,0.167373
13,0.246173,1.84491,1006.77,4919,0.0508624
14,0.216226,3.20341,358.322,4123,0.0299463
15,0.262835,12.8,802.449,5250,0.0466082
16,0.299404,1.28,475.214,5925,0.0365697
17,0.288112,3.25973,1088.51,5809,0.0112926
18,0.287148,7.64587,1092.89,5552,0.00096359
19,0,0,1089.44,6000,0.287148
20,0,0,193.535,6000,0
