User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.31131,0.8192,674.812,5952,0.31131
2,0.302477,0.0682667,1767.83,5996,0.00883367
3,0,0,1506.48,6000,0.302477
4,0,0,454.108,6000,0
5,0,0,337.507,6000,1.18e-07
6,0,0,423.273,6000,0
7,0.29146,0.607573,660.331,5644,0.29146
8,0.000591165,10.2315,678.356,5,0.290869
9,0,0,1270.77,6000,0.000591165
10,0.000607417,10.2315,1196.98,5,0.000607417
11,0.18651,2.55147,603.364,4505,0.185903
12,0,0,427.655,6000,0.18651
13,0,0,2.72833,6000,0
14,0,0,20.0832,6000,0
15,0,0,1099.97,6000,0
16,0.360426,0.290133,420.183,5983,0.360426
17,0.21551,29.5936,2046.92,4266,0.144916
18,0,0,1034.41,6000,0.21551
19,0,0,1260.79,6000,0
20,0,0,1224.13,6000,0
