NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,107.416,44.2243,1.5,116.173
UE,2,142.632,122.518,1.5,188.034
UE,3,96.9587,143.967,1.5,173.579
UE,4,81.0634,50.0863,1.5,95.3004
UE,5,8.89438,81.6626,1.5,82.1592
UE,6,80.5462,44.4468,1.5,92.0079
UE,7,1.80399,114.896,1.5,114.92
UE,8,111.817,32.5842,1.5,116.478
UE,9,107.159,118.026,1.5,159.422
UE,10,128.786,85.7412,1.5,154.724
UE,11,2.20081,109.819,1.5,109.851
UE,12,40.0013,83.3712,1.5,92.483
UE,13,2.56368,6.76344,1.5,7.38692
UE,14,17.7609,9.16319,1.5,20.0416
UE,15,41.7332,142.322,1.5,148.322
UE,16,68.5782,60.8149,1.5,91.6715
UE,17,137.82,148.127,1.5,202.332
UE,18,11.9066,143.332,1.5,143.834
UE,19,102.219,121.51,1.5,158.795
UE,20,53.7352,146.945,1.5,156.469
