User,LostPackets
1,5118
2,5916
3,5942
4,4444
5,6000
6,4746
1,4998
2,3390
3,6000
4,5909
5,4
6,4740
1,6000
2,6000
3,6000
4,6000
5,6000
6,5298
1,6000
2,6000
3,6000
4,5952
5,6000
6,5993
1,5102
2,2321
3,6000
4,6000
5,6000
6,392
1,5
2,6000
3,5913
4,5999
5,6000
6,6000
1,3
2,6000
3,3113
4,6000
5,6000
6,6000
1,3
2,5088
3,3
4,5750
5,3
6,2
1,3280
2,5737
3,5688
4,3
5,3
6,3
1,238
2,5905
3,5913
4,5906
5,5113
6,5070
