User,Delay
1,0.000271498
2,0.000275967
3,0.000285007
4,0.0603228
1,0.000271498
2,0.000275967
3,0.000285007
4,0.0603213
1,0.000271498
2,0.000275967
3,0.223715
4,0.224055
1,0.000271498
2,0.000275967
3,0.000285007
4,0.000293941
1,0.000306494
2,0.000326998
3,0.205656
4,0.000320463
1,0.000345375
2,0.000995792
3,0.267956
4,0.000401127
1,0.0319408
2,0.00043915
3,0.000580205
4,0.166226
1,0.000272769
2,0.000292453
3,0.0644224
4,0.000322
1,0.000316103
2,0.000282214
3,0.000295752
4,0.000304662
1,0.000333293
2,0.000280547
3,0.227837
4,0.228286
1,0.00027949
2,0.000284573
3,0.000404267
4,0.000319995
1,0.000271498
2,0.000280428
3,0.000357644
4,0.000320552
1,0.000271498
2,0.000275967
3,0.000298468
4,0.000307334
1,0.000271498
2,0.000275968
3,0.00028501
4,0.000302911
1,0.00027596
2,0.000293832
3,0.000302868
4,0.000311793
