User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.300046,0.699733,957.834,5959,0.300046
2,0.318107,0.0853333,397.11,5995,0.018061
3,0,0,1308.12,6000,0.318107
4,0,0,1509.96,6000,0
5,0.306788,0.09216,940.18,5946,0.306788
6,0.306459,0.698027,757.957,5591,0.000328477
7,0.277812,0.790187,1654.98,5537,0.0286475
8,0.277619,0.785067,860.078,5540,0.00019295
9,0.000466861,10.2349,1534.28,3,0.277152
10,0.000467471,10.2349,1477.91,3,6.10155e-07
11,0.210526,3.44064,1208.19,3984,0.210059
12,0.275745,0.90624,1346.91,5469,0.0652185
13,0.278129,0.815787,12.4719,5522,0.00238464
14,0.274289,0.756053,1039.62,5557,0.00384065
15,0.290228,3.82293,1001.21,5776,0.0159394
16,0.263074,0.682667,1365.75,5960,0.0271541
17,0.189568,38.0245,479.722,3772,0.0735063
18,0,0,287.852,6000,0.189568
19,0,0,1839.73,6000,0
20,0,0,324.795,6000,0
