User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.208901,31.5051,1715.43,4154,0.0668822
2,0,0,1649.82,6000,0.208901
3,0,0,1376.54,6000,0
4,0,0,1698.64,6000,0
5,0,0,834.391,6000,1.18e-07
6,0.306479,0.44544,176.609,5739,0.306479
7,0.246793,1.85003,1053.52,4916,0.0596867
8,0.281623,0.646827,1489,5621,0.0348303
9,0.281098,0.65024,823.218,5619,0.000525155
10,0.35126,0.33792,818.899,5802,0.0701622
11,0.291178,0.119467,1100.45,5930,0.0600823
12,0.316583,0.11776,778.595,5931,0.0254049
13,0.000645221,10.2298,1269.41,6,0.315937
14,0.281318,0.648533,58.1795,5620,0.280673
15,0.259666,0.273067,1674.03,5984,0.0216522
16,0.261132,0.546133,1067.09,5968,0.00146557
17,0.228022,25.6512,81.8125,4497,0.03311
18,0,0,146.675,6000,0.228022
19,0,0,647.194,6000,0
20,0.275783,5.81973,202.376,5659,0.275783
