Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 2,[0.013644577786823113],[0.37471666666666664],[0.0015172078160569072],[0.9422],[3372.1409602510003],75.89740109899417,26091520000,2024-08-23 22:54:21
client 5,[0.00692381000580887],[0.6851333333333334],[0.000897762781730853],[0.9607],[3184.645552888],73.63368919799967,26091520000,2024-08-24 00:33:25
client 1,[0.005884480569077035],[0.7369166666666667],[0.0010452890061307697],[0.9542],[3152.3285745589997],73.90051950999558,26091520000,2024-08-24 02:11:18
