NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,37.2969,41.9158,1.5,56.127
UE,2,24.2163,73.0832,1.5,77.0054
UE,3,67.0752,132.195,1.5,148.246
UE,4,135.172,14.0534,1.5,135.909
UE,5,84.0324,101.301,1.5,131.627
UE,6,146.769,87.9557,1.5,171.113
UE,7,140.415,3.30823,1.5,140.462
UE,8,7.47463,22.7466,1.5,23.9902
UE,9,42.7535,122.131,1.5,129.407
UE,10,127.815,97.3051,1.5,160.646
UE,11,55.3914,102.411,1.5,116.441
UE,12,86.4336,28.12,1.5,90.9052
UE,13,63.5802,4.2217,1.5,63.7378
UE,14,83.8083,119.028,1.5,145.581
UE,15,58.2268,88.8952,1.5,106.278
UE,16,58.2604,120.456,1.5,133.814
UE,17,60.1359,20.0058,1.5,63.394
UE,18,108.734,15.6161,1.5,109.86
UE,19,51.0976,148.332,1.5,156.894
UE,20,63.5824,38.285,1.5,74.2342
