User,EnergyConsumption
1,157.512
2,296.491
3,1098.84
4,923.562
5,866.284
6,1463.98
7,986.472
8,28.7765
9,837.308
10,1290.36
11,677.924
12,413.188
13,203.126
14,1059.69
15,564.748
16,895.31
17,200.94
18,603.463
19,1230.78
20,275.536
