NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,29.7223,37.8519,1.5,48.1501
UE,2,3.28781,105.334,1.5,105.396
UE,3,58.0106,124.68,1.5,137.523
UE,4,91.0159,28.6925,1.5,95.4432
UE,5,123.803,77.2895,1.5,145.956
UE,6,102.194,144.055,1.5,176.629
UE,7,87.7117,144.184,1.5,168.774
UE,8,70.7092,82.3071,1.5,108.52
UE,9,90.8319,8.32077,1.5,91.2245
UE,10,122.57,126.624,1.5,176.237
UE,11,143.127,116.596,1.5,184.614
UE,12,108.89,149.352,1.5,184.839
UE,13,81.2042,37.758,1.5,89.5658
UE,14,49.095,46.9133,1.5,67.9223
UE,15,119.786,50.4698,1.5,129.993
UE,16,142.031,140.231,1.5,199.599
UE,17,30.7333,9.38527,1.5,32.1694
UE,18,83.3007,32.086,1.5,89.2792
UE,19,48.8874,32.1104,1.5,58.509
UE,20,45.019,86.0364,1.5,97.1145
