User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.199716,34.4235,115.922,3983,0.199716
2,0.347793,0.0341333,555.42,5998,0.148077
3,0,0,945.625,6000,0.347793
4,0.307391,0.187733,455.47,5989,0.307391
5,0.254277,1.82955,1065.15,4928,0.254277
6,0.282231,0.556373,1559.89,5674,0.0279541
7,0.279827,0.71168,1424.23,5583,0.00240464
8,0.000476749,10.2349,588.825,3,0.27935
9,0.277909,0.725333,416.096,5575,0.277432
10,0.319382,0.605867,1552.97,5645,0.0414736
11,0.299859,0.0938667,1704.11,5945,0.0195237
12,0.250764,0.59392,1708.27,5652,0.0490948
13,0.000501124,10.2366,401.102,2,0.250263
14,0.201655,3.37408,230.672,4023,0.201154
15,0.291339,3.46453,844.905,5797,0.0896836
16,0.199698,34.4235,1991.99,3983,0.0916411
17,0.300574,0.682667,51.7434,5960,0.100876
18,0,0,398.538,6000,0.300574
19,0,0,171.165,6000,0
20,0,0,471.561,6000,0
