Client,Validation Accuracy
client 1,0.923300
client 1,0.926800
client 1,0.926400
client 1,0.954100
client 1,0.943800
client 2,0.958800
client 3,0.962000
client 3,0.908100
client 4,0.943400
client 4,0.955400
client 4,0.963100
client 4,0.960000
