Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 1,[0.012639748251686494],[0.431],[0.0016553977789357304],[0.9328],[2603.075754185],61.28287000000529,26091520000,2024-08-21 14:18:41
client 5,[0.007824850612506271],[0.6422166666666667],[0.0009281129508279264],[0.9613],[2450.952619403],59.41359268600161,26091520000,2024-08-21 15:32:02
client 3,[0.006641246839736899],[0.69675],[0.0008667841501999647],[0.9656],[2801.703342522],63.16520146399888,26091520000,2024-08-21 16:53:55
