Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 1,[0.012598332623889048],[0.4205],[0.0016376119958236813],[0.9354],[2471.070269515],57.70006692799522,26091520000,2024-07-28 10:01:23
client 5,[0.007272503686696291],[0.6719666666666667],[0.0009472361038671807],[0.9602],[2472.210253392],57.7601655420008,26091520000,2024-07-28 11:15:08
client 3,[0.0071719031820694605],[0.6725166666666667],[0.0008310437410953454],[0.9647],[2523.795605798],57.349716296003386,26091520000,2024-07-28 12:28:37
