NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,113.368,105.503,1.5,154.872
UE,2,24.355,9.98299,1.5,26.3643
UE,3,39.7297,105.108,1.5,112.376
UE,4,140.042,61.5528,1.5,152.98
UE,5,14.9979,139.107,1.5,139.921
UE,6,17.1998,24.3734,1.5,29.8688
UE,7,147.206,117.875,1.5,188.591
UE,8,21.8851,88.359,1.5,91.0414
UE,9,10.5584,54.6574,1.5,55.688
UE,10,51.4634,63.5898,1.5,81.8193
UE,11,35.9078,93.9845,1.5,100.622
UE,12,28.4766,71.0138,1.5,76.5254
UE,13,144.181,50.5008,1.5,152.777
UE,14,136.132,19.7734,1.5,137.568
UE,15,46.8256,52.9134,1.5,70.6733
UE,16,91.6211,42.5023,1.5,101.01
UE,17,41.1298,5.78194,1.5,41.5613
UE,18,118.408,110.097,1.5,161.691
UE,19,100.191,96.315,1.5,138.986
UE,20,99.4174,115.671,1.5,152.532
