User,DeviceType
1,Smartphone
2,Smartphone
3,Smartphone
4,Smartphone
5,Smartphone
6,Smartphone
7,Smartphone
8,Smartphone
9,Smartphone
10,Smartphone
11,Smartphone
12,Smartphone
13,Smartphone
14,Smartphone
15,Smartphone
16,Smartphone
17,Smartphone
18,Smartphone
19,Smartphone
20,Smartphone
