Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 5,[0.011995445393770933],[0.4519],[0.0013626338028348982],[0.9412],[2723.166008138],60.73616144899926,26091520000,2024-07-27 17:55:11
client 3,[0.0078871898530672],[0.6506],[0.0008120940763736143],[0.9659],[2676.941008811],60.92493852500306,26091520000,2024-07-27 19:13:50
client 1,[0.006006010044366121],[0.7355666666666667],[0.0007433593913447112],[0.9679],[2598.305976624],59.06616866900234,26091520000,2024-07-27 20:28:25
